PARTITION_DATE,ACCESS_ID,COLLECTION_DATE,ONT_VENDOR,ONT_MODEL,ONT_VERSION,ONT_SERIAL_NUMBER,ONT_VERSION_HW,ONT_UP_TIME,TX_POWER_DS,RX_POWER_DS,TX_POWER_US,RX_POWER_US,ONT_STATE,OLT_STATE,ONT_TEMPERATURE,ONT_CURRENT,ONT_VOLTAGE,ATENUACION_DS,ATENUACION_US,LONG_BUCLE
2023-12-27,1104531738,2023-12-27 08:01:25,ASKY,RTF8225VW,R8225VWTEF004,ASKY00719D6A,RTF8225VW,0 dias 23 horas 19 minutos,,-20.41,2.6,-17.5,IS,IS,38.0,14.0,3.2,23.01,,6477.0
2023-12-27,1094105834,2023-12-27 08:01:25,ASKY,RTF3507VW,R3507VWCL203,ASKY002782E1,RTF3507VW,2 dias 12 horas 36 minutos,,-19.75,1.7,-20.1,IS,IS,49.0,23.0,3.3,21.45,,1268.0
2023-12-27,1104505682,2023-12-27 08:01:25,ASKY,RTF8225VW,R8225VWTEF004,ASKY0071A492,RTF8225VW,2 dias 21 horas 20 minutos,,-20.81,2.6,-18.5,IS,IS,36.0,14.0,3.2,23.41,,8903.0
2023-12-27,1094169192,2023-12-27 08:01:25,,,,,,,,,,,,,,,,,,
2023-12-27,1093975752,2023-12-27 08:01:25,ASKY,3505VW,R3505VWCL203,ASKY00303460,3505VW,15 dias 22 horas 45 minutos,,-21.25,2.1,-21.1,IS,IS,43.0,21.0,3.2,23.35,,2919.0
2023-12-27,1103242903,2023-12-27 08:01:25,-1,,,ASKY005D8A6B,,49710 dias 6 horas 28 minutos,,21474736.47,21474836.5,21474836.5,OOS,IS,2147483647.0,2147483647.0,2147483.6,100.03,,-1.0
2023-12-27,1104193459,2023-12-27 08:01:25,ASKY,RTF8115VW,R8115VWTEF001,ASKY004A0531,RTF8115VW,4 dias 22 horas 32 minutos,,-24.09,2.5,-21.1,IS,IS,42.0,14.0,3.3,26.59,,2378.0
2023-12-27,1102217176,2023-12-27 08:01:25,ASKY,RTF8115VW,R8115VWTEF001,ASKY00635772,RTF8115VW,27 dias 17 horas 57 minutos,,-19.29,2.7,-16.1,IS,IS,27.0,12.0,3.3,21.99,,4574.0
2023-12-27,1103279754,2023-12-27 08:01:25,-1,,,����FFFFFFFF,,49710 dias 6 horas 28 minutos,,21474736.47,21474836.5,21474836.5,OOS,IS,2147483647.0,2147483647.0,2147483.6,100.03,,-1.0
2023-12-27,1104419233,2023-12-27 08:01:25,ASKY,RTF8225VW,R8225VWTEF004,ASKY0071945D,RTF8225VW,0 dias 0 horas 0 minutos,3.6,-2.16,2.6,-21.1,IS,IS,47.0,16.0,3.2,4.76,24.7,5600.0
2023-12-27,1102274763,2023-12-27 08:01:25,ASKY,3505VW,R3505VWCL203,ASKY0022530D,3505VW,0 dias 0 horas 0 minutos,3.6,-2.0,1.9,-20.3,IS,IS,57.0,26.0,3.3,3.9,23.9,1600.0
2023-12-27,1094054218,2023-12-27 08:01:25,ASKY,RTF8115VW,R8115VWTEF001,ASKY0058BDBB,RTF8115VW,0 dias 0 horas 0 minutos,3.5,-2.33,1.8,-20.1,IS,IS,40.0,12.0,3.3,4.13,23.6,1200.0
2023-12-27,1093981091,2023-12-27 08:01:25,ASKY,RTF3507VW,R3507VWCL203,ASKY002E597C,RTF3507VW,0 dias 0 horas 0 minutos,3.4,-1.89,1.4,-15.8,IS,IS,69.0,25.0,3.3,3.29,19.2,1400.0
2023-12-27,1093188063,2023-12-27 08:01:25,MSTC,GPT-2741GNAC,110XGF0b1,MSTC09491949,GPT-2741GNAC,0 dias 0 horas 0 minutos,5.4,,2.4,-18.5,IS,IS,,14.0,3.3,,23.9,4500.0
2023-12-27,1101026581,2023-12-27 08:01:25,MSTC,GPT-2741GNAC,110XGF0b1,MSTC0F356517,GPT-2741GNAC,0 dias 0 horas 0 minutos,3.4,,2.5,-22.0,IS,IS,,16.0,3.3,,25.4,2800.0
2023-12-27,1103121692,2023-12-27 08:01:25,ASKY,3505VW,R3505VWCL203,ASKY0025B076,3505VW,0 dias 0 horas 0 minutos,3.2,-2.27,1.6,-21.6,IS,IS,54.0,23.0,3.2,3.87,24.8,3200.0
2023-12-27,1104492093,2023-12-27 08:01:25,ASKY,RTF8225VW,R8225VWTEF004,ASKY007187EF,RTF8225VW,0 dias 0 horas 0 minutos,3.4,-2.09,2.3,-19.4,IS,IS,38.0,14.0,3.2,4.39,22.8,3600.0
2023-12-27,1104107192,2023-12-27 08:01:25,,RTF8115VW,R8115VWTEF001,ASKY0068B05E,RTF8115VW,0 dias 0 horas 0 minutos,5.3,-2.0,2.5,-16.0,,IS,44.0,16.0,3.3,4.5,21.3,2700.0
2023-12-27,1093268838,2023-12-27 08:01:25,ASKY,3505VW,R3505VWCL203,ASKY00275429,3505VW,0 dias 0 horas 0 minutos,5.2,-2.29,1.8,-19.5,IS,IS,55.0,19.0,3.2,4.09,24.7,3100.0
2023-12-27,1101494447,2023-12-27 08:01:25,MSTC,MSTCK00BRA0915-0083,100VNP0b6,MSTC034AF5A1,GPT-2541GNAC,0 dias 0 horas 0 minutos,3.7,-1.86,2.5,-20.4,IS,IS,40.0,13.0,3.3,4.36,24.1,3500.0
